Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
7195,5.0,7.0,2.0,2.0,16.0
50107,1.0,,,,1.0
48166,1.0,,,,1.0
17941,1.0,,,,1.0
15695,4.0,,,,4.0
35758,1.0,,1.0,,2.0
45820,6.0,2.0,,,8.0
23089,1.0,,1.0,,2.0
33651,3.0,,,,3.0
33652,4.0,,,2.0,6.0
11758,2.0,2.0,,,4.0
17405,2.0,,,,2.0
20454,1.0,,,,1.0
7385,2.0,1.0,,,3.0
23005,2.0,2.0,,,4.0
393233,2.0,,,,2.0
33570,1.0,,,,1.0
19551,3.0,,,,3.0
13876,7.0,2.0,,,9.0
393748,1.0,,,,1.0
13954,1.0,,,,1.0
36746,2.0,,,,2.0
19108,2.0,,6.0,,8.0
26479,2.0,,,,2.0
36313,2.0,,,,2.0
139009,5.0,,,,5.0
18002,5.0,1.0,,,6.0
18229,4.0,,,,4.0
38193,2.0,,,,2.0
132165,3.0,,,,3.0
17918,2.0,2.0,,,4.0
13807,2.0,2.0,,,4.0
6503,2.0,,,,2.0
18734,5.0,5.0,2.0,,12.0
4713,1.0,,,,1.0
12186,1.0,1.0,,,2.0
64227,2.0,2.0,,2.0,6.0
10882,2.0,,2.0,,4.0
393524,2.0,2.0,,,4.0
